subject_nr,subject_id,game_nr,trial_nr,perc_noise,perc_noise_sample,orientation,orientation_sample,orientation_0,orientation_0_sample,orientation_positive_unfair,orientation_positive_fair,reference_line,radii
1,2,16,9,18,21.97974331,95,98.27885465,5,8.278854654,1,1,90,0
1,2,16,10,18,16.97405585,80,85.16070116,-10,-4.839298838,0,0,90,0
1,2,16,11,18,22.86945664,85,86.98671704,-5,-3.013282958,0,0,90,0
1,2,16,12,18,17.25491829,100,105.114288,10,15.11428797,1,1,90,0
1,2,16,13,18,20.97533879,100,99.00146384,10,9.001463835,1,1,90,0
1,2,16,14,18,21.12999792,80,81.57273808,-10,-8.427261923,0,0,90,0
1,2,16,15,18,13.02952098,95,98.11757633,5,8.117576333,1,1,90,0
1,2,16,16,18,19.31607647,100,100.578791,10,10.57879102,1,1,90,0
1,2,16,17,0,16.75847321,80,80,-10,-10,0,0,90,0
1,2,16,18,0,20.53042414,100,100,10,10,1,1,90,0
2,3,1,1,6,5.758296006,5,5.599230914,5,5.599230914,1,1,0,0
2,3,1,2,6,4.143140572,-10,-10.40391542,-10,-10.40391542,0,0,0,0
2,3,1,3,6,5.614608209,10,10.38018017,10,10.38018017,1,1,0,0
2,3,1,4,6,8.600322555,-10,-9.986272411,-10,-9.986272411,0,0,0,0
2,3,1,5,6,5.034132454,-5,-4.746805659,-5,-4.746805659,0,0,0,0
2,3,1,6,6,6.887528502,10,8.576014523,10,8.576014523,1,1,0,0
2,3,1,7,6,5.374772257,-10,-12.87132823,-10,-12.87132823,0,0,0,0
2,3,1,8,6,6.963842622,10,11.52468389,10,11.52468389,1,1,0,0
2,3,1,9,6,5.968387651,-10,-8.673493579,-10,-8.673493579,0,0,0,0
2,3,1,10,6,5.847920459,-5,-6.140027303,-5,-6.140027303,0,0,0,0
2,3,1,11,6,5.827783559,5,5.852171527,5,5.852171527,1,1,0,0
2,3,1,12,6,6.705960811,5,6.336618795,5,6.336618795,1,1,0,0
2,3,1,13,6,6.329835802,10,12.98997243,10,12.98997243,1,1,0,0
2,3,1,14,6,4.085770233,5,5.392715452,5,5.392715452,1,1,0,0
2,3,1,15,6,5.94759044,-5,-7.052321643,-5,-7.052321643,0,0,0,0
2,3,1,16,6,4.546147249,-5,-6.315048563,-5,-6.315048563,0,0,0,0
2,3,1,17,0,5.758296006,-10,-10,-10,-10,0,0,0,0
2,3,1,18,0,4.143140572,10,10,10,10,1,1,0,0
2,3,2,1,18,19.98634282,85,84.79888438,-5,-5.201115623,0,0,90,0
2,3,2,2,18,15.59933185,100,100.9725204,10,10.9725204,1,1,90,0
2,3,2,3,18,16.65957151,80,80.92497355,-10,-9.075026453,0,0,90,0
2,3,2,4,18,17.376319,100,105.5865215,10,15.58652147,1,1,90,0
2,3,2,5,18,19.17753563,95,94.3875211,5,4.387521104,1,1,90,0
2,3,2,6,18,15.30307005,100,104.7909406,10,14.79094058,1,1,90,0
2,3,2,7,18,19.00927097,80,82.62493995,-10,-7.375060052,0,0,90,0
2,3,2,8,18,15.63934275,95,99.55577527,5,9.555775268,1,1,90,0
2,3,2,9,18,16.78962231,85,84.72821837,-5,-5.27178163,0,0,90,0
2,3,2,10,18,17.56687614,95,104.8271454,5,14.82714543,1,1,90,0
2,3,2,11,18,17.3117949,100,98.79578098,10,8.795780977,1,1,90,0
2,3,2,12,18,16.22089547,80,80.01902099,-10,-9.980979007,0,0,90,0
2,3,2,13,18,18.83522397,95,94.8157445,5,4.815744498,1,1,90,0
2,3,2,14,18,18.40273255,80,73.55279084,-10,-16.44720916,0,0,90,0
2,3,2,15,18,15.06495407,85,85.86305593,-5,-4.136944066,0,0,90,0
2,3,2,16,18,21.20946557,85,85.24551367,-5,-4.754486329,0,0,90,0
2,3,2,17,0,19.98634282,80,80,-10,-10,0,0,90,0
2,3,2,18,0,15.59933185,100,100,10,10,1,1,90,0
2,3,3,1,6,5.875755582,5,4.201552507,5,4.201552507,1,1,0,0
2,3,3,2,6,6.300651253,-10,-11.36893408,-10,-11.36893408,0,0,0,0
2,3,3,3,6,5.328383307,10,9.957171635,10,9.957171635,1,1,0,0
2,3,3,4,6,6.757102074,5,2.629806169,5,2.629806169,1,1,0,0
2,3,3,5,6,5.366127488,-5,-5.729766965,-5,-5.729766965,0,0,0,0
2,3,3,6,6,6.568688141,10,9.478585204,10,9.478585204,1,1,0,0
2,3,3,7,6,6.770462541,-10,-10.15536644,-10,-10.15536644,0,0,0,0
2,3,3,8,6,4.568822743,5,6.359640656,5,6.359640656,1,1,0,0
2,3,3,9,6,6.781932626,-10,-10.97670664,-10,-10.97670664,0,0,0,0
2,3,3,10,6,6.280934523,10,10.65584128,10,10.65584128,1,1,0,0
2,3,3,11,6,3.941663829,-5,-5.497142329,-5,-5.497142329,0,0,0,0
