subject_id;game_nr;trial_nr;perc_noise;perc_noise_sample
3;5;16;6;5.787774721
3;5;17;6;6.200130091
3;5;18;6;5.35827125
3;6;1;18;12.6356426
3;6;2;18;17.14860763
3;6;3;18;22.62026019
3;6;4;18;14.1661827
3;6;5;18;16.10826599
3;6;6;18;18.0680299
3;6;7;18;14.80670805
3;6;8;18;20.97935494
3;6;9;18;16.30349307
3;6;10;18;15.01273562
3;6;11;18;14.64694293
3;6;12;18;16.08354992
3;6;13;18;12.84586493
3;6;14;18;17.4331228
3;6;15;18;17.4585006
3;6;16;18;13.2061947
3;6;17;18;12.6356426
3;6;18;18;17.14860763
3;7;1;18;24.48906095
3;7;2;18;23.0675233
3;7;3;18;19.64104578
3;7;4;18;17.44154694
3;7;5;18;21.94720224
3;7;6;18;19.62220124
3;7;7;18;18.99930145
3;7;8;18;16.12504657
3;7;9;18;17.47787293
3;7;10;18;21.3770369
3;7;11;18;18.57552823
3;7;12;18;19.48432936
3;7;13;18;21.24359383
3;7;14;18;16.52720552
3;7;15;18;14.81603979
3;7;16;18;19.47822699
3;7;17;18;24.48906095
3;7;18;18;23.0675233
3;8;1;18;17.68256072
3;8;2;18;19.24979272
3;8;3;18;17.66342764
3;8;4;18;15.6616489
3;8;5;18;15.51686814
3;8;6;18;24.20990787
3;8;7;18;16.91756416
3;8;8;18;21.20153252
3;8;9;18;17.29989902
3;8;10;18;17.86890878
3;8;11;18;13.97798737
3;8;12;18;14.7234802
3;8;13;18;18.33825784
3;8;14;18;14.59407502
3;8;15;18;17.0782517
3;8;16;18;19.26785197
3;8;17;18;17.68256072
3;8;18;18;19.24979272
3;9;1;6;6.521546081
3;9;2;6;6.283154401
3;9;3;6;5.342346306
3;9;4;6;7.377568058
3;9;5;6;4.589158811
3;9;6;6;4.210328475
3;9;7;6;4.817309464
3;9;8;6;5.498900604
3;9;9;6;6.678873646
3;9;10;6;6.166735024
3;9;11;6;4.543472476
3;9;12;6;6.564044215
3;9;13;6;6.78095033
3;9;14;6;6.424528201
3;9;15;6;5.52128128
3;9;16;6;6.757384406
3;9;17;6;6.521546081
3;9;18;6;6.283154401
3;10;1;6;4.925354748
3;10;2;6;8.35291173
3;10;3;6;4.434190206
3;10;4;6;6.259958581
